# Serializing assets/vocabularies/subject-matter/latest/subject-matter.ttl
# @context: {"@vocab": "http://publications.europa.eu/ontology/authority/", "dct": "http://purl.org/dc/elements/1.1/", "skos": "http://www.w3.org/2004/02/skos/core#", "owl": "http://www.w3.org/2002/07/owl#", "key": {"@id": "op-code"}, "valid_from": "start.use", "valid_until": "end.use", "url": "@id", "op_code": {"@id": "op-code"}, "country_code": {"@id": "dct:identifier"}, "version_info": "owl:versionInfo", "deprecated": {}, "label_en": {"@id": "skos:prefLabel", "@language": "en"}, "label_it": {"@id": "skos:prefLabel", "@language": "it"}}
# url: http://publications.europa.eu/resource/authority/subject-matter
# title: Subject matter
# version: 20210116-0
# description: Subject matter
key,url,deprecated,valid_from,country_code,label_en,label_it
L-CH,http://publications.europa.eu/resource/authority/subject-matter/L-CH,false,1952-07-24,L-CH,Flax and hemp,Lino e canapa
LAIT,http://publications.europa.eu/resource/authority/subject-matter/LAIT,false,1952-07-24,LAIT,Milk products,Prodotti lattiero-caseari
LCC,http://publications.europa.eu/resource/authority/subject-matter/LCC,false,1952-07-24,LCC,Free movement of capital,Libera circolazione dei capitali
LCM,http://publications.europa.eu/resource/authority/subject-matter/LCM,false,1952-07-24,LCM,Free movement of goods,Libera circolazione delle merci
LCP,http://publications.europa.eu/resource/authority/subject-matter/LCP,false,1952-07-24,LCP,Free movement of persons,Libera circolazione delle persone
LCT,http://publications.europa.eu/resource/authority/subject-matter/LCT,false,1952-07-24,LCT,Free movement of workers,Libera circolazione dei lavoratori
LES,http://publications.europa.eu/resource/authority/subject-matter/LES,false,1952-07-24,LES,Freedom of establishment,Libertà di stabilimento
LIEG,http://publications.europa.eu/resource/authority/subject-matter/LIEG,false,1952-07-24,LIEG,Cork,Sughero
LPRA,http://publications.europa.eu/resource/authority/subject-matter/LPRA,false,1952-07-24,LPRA,Free circulation,Libera pratica
MARC,http://publications.europa.eu/resource/authority/subject-matter/MARC,false,1952-07-24,MARC,Public procurement in the European Union,Appalti pubblici dell'Unione europea
MARI,http://publications.europa.eu/resource/authority/subject-matter/MARI,false,1952-07-24,MARI,Internal market - Principles,Mercato interno - Principi
MARQ,http://publications.europa.eu/resource/authority/subject-matter/MARQ,false,1952-07-24,MARQ,Trade marks,Marchi
MECA,http://publications.europa.eu/resource/authority/subject-matter/MECA,false,1952-07-24,MECA,"Medium-sized firms, distributive trades and craft industries",Medie imprese commercio e artigianato
MEEQ,http://publications.europa.eu/resource/authority/subject-matter/MEEQ,false,1952-07-24,MEEQ,Measures having equivalent effect,Misure di effetto equivalente
MERG,http://publications.europa.eu/resource/authority/subject-matter/MERG,false,1952-07-24,MERG,Concentrations between undertakings,Concentrazioni tra imprese
MEXT,http://publications.europa.eu/resource/authority/subject-matter/MEXT,false,1952-07-24,MEXT,Products from third countries,Prodotti provenienti da paesi terzi
MGRA,http://publications.europa.eu/resource/authority/subject-matter/MGRA,false,1952-07-24,MGRA,Oils and fats,Grassi
MIN,http://publications.europa.eu/resource/authority/subject-matter/MIN,false,1952-07-24,MIN,Ore,Minerale
MNOP,http://publications.europa.eu/resource/authority/subject-matter/MNOP,false,1952-07-24,MNOP,State monopolies of a commercial character,Monopoli nazionali a carattere commerciale
MONA,http://publications.europa.eu/resource/authority/subject-matter/MONA,false,1952-07-24,MONA,Monetary measures in the field of agriculture,Misure monetarie in agricoltura
NAT,http://publications.europa.eu/resource/authority/subject-matter/NAT,false,1952-07-24,NAT,Non-discrimination on grounds of nationality,Divieto di discriminazione fondata sulla cittadinanza
NUCL,http://publications.europa.eu/resource/authority/subject-matter/NUCL,false,1952-07-24,NUCL,Nuclear common market,Nucleare
O-V,http://publications.europa.eu/resource/authority/subject-matter/O-V,false,1952-07-24,O-V,Eggs and poultry,Uova e pollame
OBT,http://publications.europa.eu/resource/authority/subject-matter/OBT,false,1952-07-24,OBT,Plant varieties,Ritrovati vegetali
OCM,http://publications.europa.eu/resource/authority/subject-matter/OCM,false,1952-07-24,OCM,Common organisation of agricultural markets,Organizzazione comune dei mercati agricoli
OMC,http://publications.europa.eu/resource/authority/subject-matter/OMC,false,1952-07-24,OMC,World Trade Organization,Organizzazione mondiale del commercio
OP_DATPRO,http://publications.europa.eu/resource/authority/subject-matter/OP_DATPRO,false,1952-07-23,OP_DATPRO,Provisional data,Dati provvisori
ORIG,http://publications.europa.eu/resource/authority/subject-matter/ORIG,false,1952-07-24,ORIG,Rules of origin,Norme sull'origine
OVIN,http://publications.europa.eu/resource/authority/subject-matter/OVIN,false,1952-07-24,OVIN,Sheepmeat and goatmeat,Carni ovine e caprine
P-F,http://publications.europa.eu/resource/authority/subject-matter/P-F,false,1952-07-24,P-F,Plants and flowers,Piante e floricoltura
PCIV,http://publications.europa.eu/resource/authority/subject-matter/PCIV,false,1952-07-24,PCIV,Civil protection,Protezione civile
PCOM,http://publications.europa.eu/resource/authority/subject-matter/PCOM,false,1952-07-24,PCOM,Commercial policy,Politica commerciale
PDET,http://publications.europa.eu/resource/authority/subject-matter/PDET,false,1952-07-24,PDET,Potatoes,Patate
PDON,http://publications.europa.eu/resource/authority/subject-matter/PDON,false,1994-01-01,PDON,Data protection,Protezione dei dati
PECH,http://publications.europa.eu/resource/authority/subject-matter/PECH,false,1952-07-24,PECH,Fisheries policy,Politica della pesca
PECO,http://publications.europa.eu/resource/authority/subject-matter/PECO,false,1952-07-24,PECO,Economic policy,Politica economica
PEM,http://publications.europa.eu/resource/authority/subject-matter/PEM,false,1952-07-24,PEM,Economic and monetary policy,Politica economica e monetaria
PENU,http://publications.europa.eu/resource/authority/subject-matter/PENU,false,1952-07-24,PENU,Shortage,Stato di penuria
PERE,http://publications.europa.eu/resource/authority/subject-matter/PERE,false,1952-07-24,PERE,Scrap equalisation,Perequazione del rottame
PESC,http://publications.europa.eu/resource/authority/subject-matter/PESC,false,1952-07-24,PESC,Common foreign and security policy,Politica estera e di sicurezza comune
PHYT,http://publications.europa.eu/resource/authority/subject-matter/PHYT,false,1952-07-24,PHYT,Plant health legislation,Legislazione fitosanitaria
PIM,http://publications.europa.eu/resource/authority/subject-matter/PIM,false,1952-07-24,PIM,Integrated Mediterranean programmes (IMP),Programmi integrati mediterranei (PIM)
