# Serializing assets/vocabularies/filetypes/latest/filetypes.ttl
# @context: {"@vocab": "http://publications.europa.eu/ontology/authority/", "dct": "http://purl.org/dc/elements/1.1/", "skos": "http://www.w3.org/2004/02/skos/core#", "owl": "http://www.w3.org/2002/07/owl#", "key": {"@id": "op-code"}, "valid_from": "start.use", "valid_until": "end.use", "url": "@id", "op_code": {"@id": "op-code"}, "country_code": {"@id": "dct:identifier"}, "version_info": "owl:versionInfo", "deprecated": {}, "label_en": {"@id": "skos:prefLabel", "@language": "en"}, "label_it": {"@id": "skos:prefLabel", "@language": "it"}}
# url: http://publications.europa.eu/resource/authority/file-type
# title: File type
# version: 20210929-0
# description: File type
key,url,deprecated,valid_from,country_code,label_en,valid_until,label_it
N3,http://publications.europa.eu/resource/authority/file-type/N3,false,2008-01-01,N3,N3,,
NETCDF,http://publications.europa.eu/resource/authority/file-type/NETCDF,false,1990-01-01,NETCDF,NetCDF,,
OCTET,http://publications.europa.eu/resource/authority/file-type/OCTET,false,1996-11-01,OCTET,Octet Stream,,
ODB,http://publications.europa.eu/resource/authority/file-type/ODB,false,2009-01-16,ODB,OpenDocument Database,,
ODC,http://publications.europa.eu/resource/authority/file-type/ODC,false,2005-05-01,ODC,OpenDocument Chart,,
ODF,http://publications.europa.eu/resource/authority/file-type/ODF,false,2012-09-01,ODF,ODF,,
ODG,http://publications.europa.eu/resource/authority/file-type/ODG,false,2006-05-31,ODG,OpenDocument Image,,
ODP,http://publications.europa.eu/resource/authority/file-type/ODP,false,2005-05-01,ODP,ODP,,
ODS,http://publications.europa.eu/resource/authority/file-type/ODS,false,2013-11-27,ODS,ODS,,
ODT,http://publications.europa.eu/resource/authority/file-type/ODT,false,2012-09-01,ODT,ODT,,
OP_DATPRO,http://publications.europa.eu/resource/authority/file-type/OP_DATPRO,,,OP_DATPRO,Provisional data,,Dati provvisori
OVF,http://publications.europa.eu/resource/authority/file-type/OVF,false,2007-09-10,OVF,OVF,,
OWL,http://publications.europa.eu/resource/authority/file-type/OWL,false,2012-09-01,OWL,OWL,,
PDF,http://publications.europa.eu/resource/authority/file-type/PDF,false,2012-09-01,PDF,PDF,,
PDF1X,http://publications.europa.eu/resource/authority/file-type/PDF1X,false,2012-09-01,PDF1X,PDF1X,,
PDFA1A,http://publications.europa.eu/resource/authority/file-type/PDFA1A,false,2012-09-01,PDFA1A,PDF/A-1a,,
PDFA1B,http://publications.europa.eu/resource/authority/file-type/PDFA1B,false,2012-09-01,PDFA1B,PDF/A-1b,,
PDFA2A,http://publications.europa.eu/resource/authority/file-type/PDFA2A,false,2011-07-01,PDFA2A,PDF/A-2a,,
PDFA2B,http://publications.europa.eu/resource/authority/file-type/PDFA2B,false,2011-07-01,PDFA2B,PDF/A-2b,,
PDFA3,http://publications.europa.eu/resource/authority/file-type/PDFA3,false,2012-12-15,PDFA3,PDFA-3,,
PDFX,http://publications.europa.eu/resource/authority/file-type/PDFX,false,2001-12-01,PDFX,PDF/X,,
PDFX1A,http://publications.europa.eu/resource/authority/file-type/PDFX1A,false,2001-12-01,PDFX1A,PDF/X-1a,,
PDFX2A,http://publications.europa.eu/resource/authority/file-type/PDFX2A,false,2003-12-01,PDFX2A,PDF/X-2a,,
PDFX4,http://publications.europa.eu/resource/authority/file-type/PDFX4,false,2008-03-01,PDFX4,PDF/X-4,,
PL,http://publications.europa.eu/resource/authority/file-type/PL,false,1987-12-18,PL,Perl script,,
PNG,http://publications.europa.eu/resource/authority/file-type/PNG,false,2012-09-01,PNG,PNG,,
PPS,http://publications.europa.eu/resource/authority/file-type/PPS,false,2012-09-01,PPS,PowerPoint Slide Show,,
PPSX,http://publications.europa.eu/resource/authority/file-type/PPSX,false,2012-09-01,PPSX,PowerPoint PPSX,,
PPT,http://publications.europa.eu/resource/authority/file-type/PPT,false,2012-09-01,PPT,PowerPoint PPT,,
PPTX,http://publications.europa.eu/resource/authority/file-type/PPTX,false,2012-09-01,PPTX,PowerPoint PPTX,,
PS,http://publications.europa.eu/resource/authority/file-type/PS,false,2012-09-01,PS,PS,,
PSD,http://publications.europa.eu/resource/authority/file-type/PSD,false,2012-09-01,PSD,PSD,,
PWP,http://publications.europa.eu/resource/authority/file-type/PWP,false,2017-05-01,PWP,PWP,,
QGS,http://publications.europa.eu/resource/authority/file-type/QGS,false,2002-07-01,QGS,QGS,,
RAR,http://publications.europa.eu/resource/authority/file-type/RAR,false,1993-03-01,RAR,RAR,,
RDF,http://publications.europa.eu/resource/authority/file-type/RDF,false,2012-09-01,RDF,RDF,,
RDFA,http://publications.europa.eu/resource/authority/file-type/RDFA,false,2006-03-10,RDFA,RDFa,,
RDF_N_QUADS,http://publications.europa.eu/resource/authority/file-type/RDF_N_QUADS,false,2013-04-09,RDF_N_QUADS,RDF N-Quads,,
RDF_N_TRIPLES,http://publications.europa.eu/resource/authority/file-type/RDF_N_TRIPLES,false,2008-02-17,RDF_N_TRIPLES,RDF N-Triples,,
RDF_TRIG,http://publications.europa.eu/resource/authority/file-type/RDF_TRIG,false,2013-04-09,RDF_TRIG,RDF TriG,,
RDF_TRIX,http://publications.europa.eu/resource/authority/file-type/RDF_TRIX,false,2004-05-13,RDF_TRIX,RDF TriX,,
RDF_TURTLE,http://publications.europa.eu/resource/authority/file-type/RDF_TURTLE,false,2012-09-01,RDF_TURTLE,RDF Turtle,,
RDF_XML,http://publications.europa.eu/resource/authority/file-type/RDF_XML,false,2012-09-01,RDF_XML,RDF XML,,
REST,http://publications.europa.eu/resource/authority/file-type/REST,false,2010-01-01,REST,Esri REST,,
RPM,http://publications.europa.eu/resource/authority/file-type/RPM,false,1997-01-01,RPM,RPM,,
RSS,http://publications.europa.eu/resource/authority/file-type/RSS,false,2013-11-27,RSS,RSS feed,,
RTF,http://publications.europa.eu/resource/authority/file-type/RTF,false,2012-09-01,RTF,RTF,,
SB3,http://publications.europa.eu/resource/authority/file-type/SB3,false,2019-01-02,SB3,sb3,,
SCHEMA_XML,http://publications.europa.eu/resource/authority/file-type/SCHEMA_XML,false,2012-09-01,SCHEMA_XML,XML schema,,
SDMX,http://publications.europa.eu/resource/authority/file-type/SDMX,false,2001-01-01,SDMX,SDMX,,
SGML,http://publications.europa.eu/resource/authority/file-type/SGML,false,2012-09-01,SGML,SGML,,
SHP,http://publications.europa.eu/resource/authority/file-type/SHP,false,1998-07-01,SHP,Esri Shape,,
SKOS_XML,http://publications.europa.eu/resource/authority/file-type/SKOS_XML,false,2012-09-01,SKOS_XML,SKOS,,
SPARQLQ,http://publications.europa.eu/resource/authority/file-type/SPARQLQ,false,2012-09-01,SPARQLQ,SPARQL,,
SPARQLQRES,http://publications.europa.eu/resource/authority/file-type/SPARQLQRES,false,2012-09-01,SPARQLQRES,SPARQL results,,
SQL,http://publications.europa.eu/resource/authority/file-type/SQL,false,1974-01-01,SQL,SQL,,
SVG,http://publications.europa.eu/resource/authority/file-type/SVG,false,2001-09-04,SVG,SVG,,
SWM,http://publications.europa.eu/resource/authority/file-type/SWM,false,2007-01-30,SWM,SWM,,
TAB,http://publications.europa.eu/resource/authority/file-type/TAB,false,2000-03-26,TAB,MapInfo TAB file,,
TAB_RSTR,http://publications.europa.eu/resource/authority/file-type/TAB_RSTR,false,2000-03-26,TAB_RSTR,MapInfo TAB raster file,,
TAR,http://publications.europa.eu/resource/authority/file-type/TAR,false,2012-09-01,TAR,TAR,,
TAR_GZ,http://publications.europa.eu/resource/authority/file-type/TAR_GZ,false,2012-09-01,TAR_GZ,TAR GZ,,
TAR_XZ,http://publications.europa.eu/resource/authority/file-type/TAR_XZ,false,2012-09-01,TAR_XZ,TAR XZ,,
TIFF,http://publications.europa.eu/resource/authority/file-type/TIFF,false,2012-09-01,TIFF,TIFF,,
TIFF_FX,http://publications.europa.eu/resource/authority/file-type/TIFF_FX,false,2005-02-01,TIFF_FX,TIFF FX,,
TMX,http://publications.europa.eu/resource/authority/file-type/TMX,false,1997-11-25,TMX,TMX,,
