# Serializing assets/vocabularies/languages/latest/languages.ttl
# @context: {"@vocab": "http://publications.europa.eu/ontology/authority/", "dct": "http://purl.org/dc/elements/1.1/", "skos": "http://www.w3.org/2004/02/skos/core#", "owl": "http://www.w3.org/2002/07/owl#", "key": {"@id": "op-code"}, "valid_from": "start.use", "valid_until": "end.use", "url": "@id", "op_code": {"@id": "op-code"}, "country_code": {"@id": "dct:identifier"}, "version_info": "owl:versionInfo", "deprecated": {}, "label_en": {"@id": "skos:prefLabel", "@language": "en"}, "label_it": {"@id": "skos:prefLabel", "@language": "it"}}
# url: http://publications.europa.eu/resource/authority/language
# title: Language
# version: 20210929-0
# description: Language
key,url,deprecated,valid_until,valid_from,country_code,label_en,label_it
AJI,http://publications.europa.eu/resource/authority/language/AJI,false,,1950-05-09,AJI,,
AJP,http://publications.europa.eu/resource/authority/language/AJP,false,,1950-05-09,AJP,,
AJT,http://publications.europa.eu/resource/authority/language/AJT,false,,1950-05-09,AJT,,
AJU,http://publications.europa.eu/resource/authority/language/AJU,false,,1950-05-09,AJU,,
AJW,http://publications.europa.eu/resource/authority/language/AJW,false,,1950-05-09,AJW,,
AJZ,http://publications.europa.eu/resource/authority/language/AJZ,false,,1950-05-09,AJZ,,
AKA,http://publications.europa.eu/resource/authority/language/AKA,false,,1950-05-09,AKA,Akan,
AKB,http://publications.europa.eu/resource/authority/language/AKB,false,,1950-05-09,AKB,,
AKC,http://publications.europa.eu/resource/authority/language/AKC,false,,1950-05-09,AKC,,
AKD,http://publications.europa.eu/resource/authority/language/AKD,false,,1950-05-09,AKD,,
AKE,http://publications.europa.eu/resource/authority/language/AKE,false,,1950-05-09,AKE,,
AKF,http://publications.europa.eu/resource/authority/language/AKF,false,,1950-05-09,AKF,,
AKG,http://publications.europa.eu/resource/authority/language/AKG,false,,1950-05-09,AKG,,
AKH,http://publications.europa.eu/resource/authority/language/AKH,false,,1950-05-09,AKH,,
AKI,http://publications.europa.eu/resource/authority/language/AKI,false,,1950-05-09,AKI,,
AKJ,http://publications.europa.eu/resource/authority/language/AKJ,false,,1950-05-09,AKJ,,
AKK,http://publications.europa.eu/resource/authority/language/AKK,false,,1950-05-09,AKK,,
AKL,http://publications.europa.eu/resource/authority/language/AKL,false,,1950-05-09,AKL,,
AKM,http://publications.europa.eu/resource/authority/language/AKM,false,,1950-05-09,AKM,,
AKO,http://publications.europa.eu/resource/authority/language/AKO,false,,1950-05-09,AKO,,
AKP,http://publications.europa.eu/resource/authority/language/AKP,false,,1950-05-09,AKP,,
AKQ,http://publications.europa.eu/resource/authority/language/AKQ,false,,1950-05-09,AKQ,,
AKR,http://publications.europa.eu/resource/authority/language/AKR,false,,1950-05-09,AKR,,
AKS,http://publications.europa.eu/resource/authority/language/AKS,false,,1950-05-09,AKS,,
AKT,http://publications.europa.eu/resource/authority/language/AKT,false,,1950-05-09,AKT,,
AKU,http://publications.europa.eu/resource/authority/language/AKU,false,,1950-05-09,AKU,,
AKV,http://publications.europa.eu/resource/authority/language/AKV,false,,1950-05-09,AKV,,
AKW,http://publications.europa.eu/resource/authority/language/AKW,false,,1950-05-09,AKW,,
AKX,http://publications.europa.eu/resource/authority/language/AKX,false,,1950-05-09,AKX,,
AKY,http://publications.europa.eu/resource/authority/language/AKY,false,,1950-05-09,AKY,,
AKZ,http://publications.europa.eu/resource/authority/language/AKZ,false,,1950-05-09,AKZ,,
ALA,http://publications.europa.eu/resource/authority/language/ALA,false,,1950-05-09,ALA,,
ALC,http://publications.europa.eu/resource/authority/language/ALC,false,,1950-05-09,ALC,,
ALD,http://publications.europa.eu/resource/authority/language/ALD,false,,1950-05-09,ALD,,
ALE,http://publications.europa.eu/resource/authority/language/ALE,false,,1950-05-09,ALE,,
ALF,http://publications.europa.eu/resource/authority/language/ALF,false,,1950-05-09,ALF,,
ALG,http://publications.europa.eu/resource/authority/language/ALG,false,,1950-05-09,ALG,Algonquian languages,
ALH,http://publications.europa.eu/resource/authority/language/ALH,false,,1950-05-09,ALH,,
ALI,http://publications.europa.eu/resource/authority/language/ALI,false,,1950-05-09,ALI,,
ALJ,http://publications.europa.eu/resource/authority/language/ALJ,false,,1950-05-09,ALJ,,
ALK,http://publications.europa.eu/resource/authority/language/ALK,false,,1950-05-09,ALK,,
ALL,http://publications.europa.eu/resource/authority/language/ALL,false,,1950-05-09,ALL,,
ALM,http://publications.europa.eu/resource/authority/language/ALM,false,,1950-05-09,ALM,,
ALN,http://publications.europa.eu/resource/authority/language/ALN,false,,1950-05-09,ALN,,
ALO,http://publications.europa.eu/resource/authority/language/ALO,false,,1950-05-09,ALO,,
ALP,http://publications.europa.eu/resource/authority/language/ALP,false,,1950-05-09,ALP,,
