# Serializing assets/vocabularies/sites/latest/sites.ttl
# @context: {"@vocab": "http://publications.europa.eu/ontology/authority/", "dct": "http://purl.org/dc/elements/1.1/", "skos": "http://www.w3.org/2004/02/skos/core#", "owl": "http://www.w3.org/2002/07/owl#", "key": {"@id": "op-code"}, "valid_from": "start.use", "valid_until": "end.use", "url": "@id", "op_code": {"@id": "op-code"}, "country_code": {"@id": "dct:identifier"}, "version_info": "owl:versionInfo", "deprecated": {}, "label_en": {"@id": "skos:prefLabel", "@language": "en"}, "label_it": {"@id": "skos:prefLabel", "@language": "it"}}
# url: http://publications.europa.eu/resource/authority/site
# title: Site
# version: 20210929-0
# description: Site
key,url,deprecated,valid_from,country_code,label_en,valid_until,label_it
CJ_TOB,http://publications.europa.eu/resource/authority/site/CJ_TOB,false,2008-11-01,CJ_TOB,Tower B,,
CLOV,http://publications.europa.eu/resource/authority/site/CLOV,false,1958-01-01,CLOV,,,
COLE,http://publications.europa.eu/resource/authority/site/COLE,false,1958-01-01,COLE,,,
COLEAHLANSEBOUNDJI,http://publications.europa.eu/resource/authority/site/COLEAHLANSEBOUNDJI,false,1958-01-01,COLEAHLANSEBOUNDJI,Coléah Lanséboundji,,
CONSTITUTION167,http://publications.europa.eu/resource/authority/site/CONSTITUTION167,false,1958-01-01,CONSTITUTION167,Constitution 167,,
COVE,http://publications.europa.eu/resource/authority/site/COVE,false,1958-01-01,COVE,,,
COVE2,http://publications.europa.eu/resource/authority/site/COVE2,false,1958-01-01,COVE2,,,
CPE1,http://publications.europa.eu/resource/authority/site/CPE1,false,1958-01-01,CPE1,,,
CPE2,http://publications.europa.eu/resource/authority/site/CPE2,false,1958-01-01,CPE2,,,
CPE3,http://publications.europa.eu/resource/authority/site/CPE3,false,1958-01-01,CPE3,,,
CPE4,http://publications.europa.eu/resource/authority/site/CPE4,true,1958-01-01,CPE4,,2012-12-31,
CPE5,http://publications.europa.eu/resource/authority/site/CPE5,false,1958-01-01,CPE5,,,
CSM1,http://publications.europa.eu/resource/authority/site/CSM1,false,1958-01-01,CSM1,,,
CSM2,http://publications.europa.eu/resource/authority/site/CSM2,true,1958-01-01,CSM2,,2016-11-29,
DAIL,http://publications.europa.eu/resource/authority/site/DAIL,false,1958-01-01,DAIL,,,
DAV1,http://publications.europa.eu/resource/authority/site/DAV1,false,1958-01-01,DAV1,,,
DAWSON18,http://publications.europa.eu/resource/authority/site/DAWSON18,false,1958-01-01,DAWSON18,Dawson 18,,
DM24,http://publications.europa.eu/resource/authority/site/DM24,false,1958-01-01,DM24,,,
DM28,http://publications.europa.eu/resource/authority/site/DM28,false,1958-01-01,DM28,,,
DOMBENOUADAH,http://publications.europa.eu/resource/authority/site/DOMBENOUADAH,false,1958-01-01,DOMBENOUADAH,Domaine Benouadah,,
DONGZHIMENWAIDAIJIE15,http://publications.europa.eu/resource/authority/site/DONGZHIMENWAIDAIJIE15,false,1958-01-01,DONGZHIMENWAIDAIJIE15,Dongzhimenwai Daijie 15,,
DRB,http://publications.europa.eu/resource/authority/site/DRB,false,1958-01-01,DRB,Drosbach building,,
DUBLINROAD74_76,http://publications.europa.eu/resource/authority/site/DUBLINROAD74_76,false,1958-01-01,DUBLINROAD74_76,Dublin Road 74-76,,
DUNAJSKA20,http://publications.europa.eu/resource/authority/site/DUNAJSKA20,false,1958-01-01,DUNAJSKA20,Dunajska 20,,
EAS,http://publications.europa.eu/resource/authority/site/EAS,true,1958-01-01,EAS,,2016-09-30,
EBRC,http://publications.europa.eu/resource/authority/site/EBRC,false,1958-01-01,EBRC,,,
EE1,http://publications.europa.eu/resource/authority/site/EE1,false,1958-01-01,EE1,European School I — Kirchberg,,
EE2,http://publications.europa.eu/resource/authority/site/EE2,false,1958-01-01,EE2,European School II — Bertrange,,
EEAS,http://publications.europa.eu/resource/authority/site/EEAS,false,2011-10-14,EEAS,EEAS Building,,
EISENHOWER73,http://publications.europa.eu/resource/authority/site/EISENHOWER73,false,1958-01-01,EISENHOWER73,Eisenhower 73,,
EKI,http://publications.europa.eu/resource/authority/site/EKI,false,2008-06-02,EKI,EKI,,
ENGELS34A,http://publications.europa.eu/resource/authority/site/ENGELS34A,false,1958-01-01,ENGELS34A,Engels 34 A,,
ERA,http://publications.europa.eu/resource/authority/site/ERA,false,1988-10-05,ERA,,,
ERHARDT27,http://publications.europa.eu/resource/authority/site/ERHARDT27,false,1958-01-01,ERHARDT27,Erhardt 27,,
ERKINDIK21,http://publications.europa.eu/resource/authority/site/ERKINDIK21,false,1958-01-01,ERKINDIK21,Erkindik 21,,
ER_RIAD,http://publications.europa.eu/resource/authority/site/ER_RIAD,false,1958-01-01,ER_RIAD,Boulevard Er-Riad,,
ETHNIKISANTISTASEOS72,http://publications.europa.eu/resource/authority/site/ETHNIKISANTISTASEOS72,false,2021-07-01,ETHNIKISANTISTASEOS72,Ethnikis Antistaseos 72,,
ETIHADTOWER,http://publications.europa.eu/resource/authority/site/ETIHADTOWER,false,1958-01-01,ETIHADTOWER,Etihad Tower,,
EUFO1,http://publications.europa.eu/resource/authority/site/EUFO1,false,1958-01-01,EUFO1,,,
EUROPE,http://publications.europa.eu/resource/authority/site/EUROPE,false,1958-01-01,EUROPE,House of Europe (MAEU),,
EUROPE123,http://publications.europa.eu/resource/authority/site/EUROPE123,false,1958-01-01,EUROPE123,Europe 123,,
EYLAU12,http://publications.europa.eu/resource/authority/site/EYLAU12,false,1958-01-01,EYLAU12,Eylau 12,,
F101,http://publications.europa.eu/resource/authority/site/F101,false,1958-01-01,F101,,,
FEI,http://publications.europa.eu/resource/authority/site/FEI,true,1957-12-31,FEI,European Investment Fund,1958-01-01,Fondo europeo per gli investimenti
FISR,http://publications.europa.eu/resource/authority/site/FISR,false,1958-01-01,FISR,,,
FRIK21,http://publications.europa.eu/resource/authority/site/FRIK21,false,1958-01-01,FRIK21,Frik 21,,
G1,http://publications.europa.eu/resource/authority/site/G1,false,1958-01-01,G1,,,
G12,http://publications.europa.eu/resource/authority/site/G12,false,1958-01-01,G12,,,
G6,http://publications.europa.eu/resource/authority/site/G6,false,1958-01-01,G6,,,
GAL,http://publications.europa.eu/resource/authority/site/GAL,false,2008-07-14,GAL,,,
GAMHORIA10,http://publications.europa.eu/resource/authority/site/GAMHORIA10,false,1958-01-01,GAMHORIA10,Gamhoria 10,,
GARCIABARBON4,http://publications.europa.eu/resource/authority/site/GARCIABARBON4,false,1958-01-01,GARCIABARBON4,Odriozola building,,
GARDENROAD33,http://publications.europa.eu/resource/authority/site/GARDENROAD33,false,1958-01-01,GARDENROAD33,Garden Road 33,,
GASP,http://publications.europa.eu/resource/authority/site/GASP,true,1958-01-01,GASP,,2015-05-31,
GEDIMINO16,http://publications.europa.eu/resource/authority/site/GEDIMINO16,false,1958-01-01,GEDIMINO16,Gedimino 16,,
GEOS,http://publications.europa.eu/resource/authority/site/GEOS,true,2004-02-01,GEOS,,2014-02-01,
GOL,http://publications.europa.eu/resource/authority/site/GOL,true,1958-01-01,GOL,,2016-09-30,
GOTHERSGADE115,http://publications.europa.eu/resource/authority/site/GOTHERSGADE115,false,1958-01-01,GOTHERSGADE115,Gothersgade 115,,
GRACIA90,http://publications.europa.eu/resource/authority/site/GRACIA90,false,1958-01-01,GRACIA90,Gràcía 90,,
GRAN,http://publications.europa.eu/resource/authority/site/GRAN,false,2002-03-14,GRAN,"Dunsany, Grange",,
GRANDPRE64,http://publications.europa.eu/resource/authority/site/GRANDPRE64,false,1958-01-01,GRANDPRE64,Grand-Pré 64,,
GRANDPRE66,http://publications.europa.eu/resource/authority/site/GRANDPRE66,false,1958-01-01,GRANDPRE66,Grand-Pré 66,,
GRENELLE103,http://publications.europa.eu/resource/authority/site/GRENELLE103,true,1958-01-01,GRENELLE103,Grenelle 103,2019-11-21,
GUIM,http://publications.europa.eu/resource/authority/site/GUIM,false,1958-01-01,GUIM,,,
HANNINGTON17_23,http://publications.europa.eu/resource/authority/site/HANNINGTON17_23,false,1958-01-01,HANNINGTON17_23,Hannington Road 17-23,,
HARBORDRIVE490,http://publications.europa.eu/resource/authority/site/HARBORDRIVE490,false,1958-01-01,HARBORDRIVE490,Harbor drive 490,,
HASSANII12,http://publications.europa.eu/resource/authority/site/HASSANII12,false,1958-01-01,HASSANII12,Hassan II 12,,
HASTINGSMAINROAD,http://publications.europa.eu/resource/authority/site/HASTINGSMAINROAD,false,1958-01-01,HASTINGSMAINROAD,Hastings Main Road,,
HAV,http://publications.europa.eu/resource/authority/site/HAV,false,2013-01-01,HAV,Václav Havel,,
HEI,http://publications.europa.eu/resource/authority/site/HEI,false,1958-01-01,HEI,,,
HLEDANCENTRE,http://publications.europa.eu/resource/authority/site/HLEDANCENTRE,false,1958-01-01,HLEDANCENTRE,Hledan Centre,,
HTC,http://publications.europa.eu/resource/authority/site/HTC,false,1958-01-01,HTC,,,
