# Serializing assets/vocabularies/multilingual/latest/multilingual.ttl
# @context: {"@vocab": "http://publications.europa.eu/ontology/authority/", "dct": "http://purl.org/dc/elements/1.1/", "skos": "http://www.w3.org/2004/02/skos/core#", "owl": "http://www.w3.org/2002/07/owl#", "key": {"@id": "op-code"}, "valid_from": "start.use", "valid_until": "end.use", "url": "@id", "op_code": {"@id": "op-code"}, "country_code": {"@id": "dct:identifier"}, "version_info": "owl:versionInfo", "deprecated": {}, "label_en": {"@id": "skos:prefLabel", "@language": "en"}, "label_it": {"@id": "skos:prefLabel", "@language": "it"}}
# url: http://publications.europa.eu/resource/authority/multilingual
# title: Multilingual
# version: 20210616-0
# description: Multilingual
key,url,deprecated,country_code,label_en,label_it
4R0,http://publications.europa.eu/resource/authority/multilingual/4R0,false,4R0,Multilingual Code,
4S0,http://publications.europa.eu/resource/authority/multilingual/4S0,false,4S0,Multilingual Code,
4T0,http://publications.europa.eu/resource/authority/multilingual/4T0,false,4T0,Multilingual Code,
4U0,http://publications.europa.eu/resource/authority/multilingual/4U0,false,4U0,Multilingual Code,
4V0,http://publications.europa.eu/resource/authority/multilingual/4V0,false,4V0,Multilingual Code,
4W0,http://publications.europa.eu/resource/authority/multilingual/4W0,false,4W0,Multilingual Code,
4X0,http://publications.europa.eu/resource/authority/multilingual/4X0,false,4X0,Multilingual Code,
4Y0,http://publications.europa.eu/resource/authority/multilingual/4Y0,false,4Y0,Multilingual Code,
4Z0,http://publications.europa.eu/resource/authority/multilingual/4Z0,false,4Z0,Multilingual Code,
500,http://publications.europa.eu/resource/authority/multilingual/500,false,500,Multilingual Code,
510,http://publications.europa.eu/resource/authority/multilingual/510,false,510,Multilingual Code,
520,http://publications.europa.eu/resource/authority/multilingual/520,false,520,Multilingual Code,
530,http://publications.europa.eu/resource/authority/multilingual/530,false,530,Multilingual Code,
540,http://publications.europa.eu/resource/authority/multilingual/540,false,540,Multilingual Code,
550,http://publications.europa.eu/resource/authority/multilingual/550,false,550,Multilingual Code,
560,http://publications.europa.eu/resource/authority/multilingual/560,false,560,Multilingual Code,
570,http://publications.europa.eu/resource/authority/multilingual/570,false,570,Multilingual Code,
580,http://publications.europa.eu/resource/authority/multilingual/580,false,580,Multilingual Code,
590,http://publications.europa.eu/resource/authority/multilingual/590,false,590,Multilingual Code,
5A0,http://publications.europa.eu/resource/authority/multilingual/5A0,false,5A0,Multilingual Code,
5B0,http://publications.europa.eu/resource/authority/multilingual/5B0,false,5B0,Multilingual Code,
5C0,http://publications.europa.eu/resource/authority/multilingual/5C0,false,5C0,Multilingual Code,
5D0,http://publications.europa.eu/resource/authority/multilingual/5D0,false,5D0,Multilingual Code,
5E0,http://publications.europa.eu/resource/authority/multilingual/5E0,false,5E0,Multilingual Code,
5F0,http://publications.europa.eu/resource/authority/multilingual/5F0,false,5F0,Multilingual Code,
5G0,http://publications.europa.eu/resource/authority/multilingual/5G0,false,5G0,Multilingual Code,
5H0,http://publications.europa.eu/resource/authority/multilingual/5H0,false,5H0,Multilingual Code,
5I0,http://publications.europa.eu/resource/authority/multilingual/5I0,false,5I0,Multilingual Code,
5J0,http://publications.europa.eu/resource/authority/multilingual/5J0,false,5J0,Multilingual Code,
5K0,http://publications.europa.eu/resource/authority/multilingual/5K0,false,5K0,Multilingual Code,
5L0,http://publications.europa.eu/resource/authority/multilingual/5L0,false,5L0,Multilingual Code,
5M0,http://publications.europa.eu/resource/authority/multilingual/5M0,false,5M0,Multilingual Code,
5N0,http://publications.europa.eu/resource/authority/multilingual/5N0,false,5N0,Multilingual Code,
5P0,http://publications.europa.eu/resource/authority/multilingual/5P0,false,5P0,Multilingual Code,
5Q0,http://publications.europa.eu/resource/authority/multilingual/5Q0,false,5Q0,Multilingual Code,
5R0,http://publications.europa.eu/resource/authority/multilingual/5R0,false,5R0,Multilingual Code,
5S0,http://publications.europa.eu/resource/authority/multilingual/5S0,false,5S0,Multilingual Code,
5T0,http://publications.europa.eu/resource/authority/multilingual/5T0,false,5T0,Multilingual Code,
5U0,http://publications.europa.eu/resource/authority/multilingual/5U0,false,5U0,Multilingual Code,
5V0,http://publications.europa.eu/resource/authority/multilingual/5V0,false,5V0,Multilingual Code,
5W0,http://publications.europa.eu/resource/authority/multilingual/5W0,false,5W0,Multilingual Code,
5X0,http://publications.europa.eu/resource/authority/multilingual/5X0,false,5X0,Multilingual Code,
5Y0,http://publications.europa.eu/resource/authority/multilingual/5Y0,false,5Y0,Multilingual Code,
5Z0,http://publications.europa.eu/resource/authority/multilingual/5Z0,false,5Z0,Multilingual Code,
600,http://publications.europa.eu/resource/authority/multilingual/600,false,600,Multilingual Code,
610,http://publications.europa.eu/resource/authority/multilingual/610,false,610,Multilingual Code,
620,http://publications.europa.eu/resource/authority/multilingual/620,false,620,Multilingual Code,
630,http://publications.europa.eu/resource/authority/multilingual/630,false,630,Multilingual Code,
640,http://publications.europa.eu/resource/authority/multilingual/640,false,640,Multilingual Code,
650,http://publications.europa.eu/resource/authority/multilingual/650,false,650,Multilingual Code,
660,http://publications.europa.eu/resource/authority/multilingual/660,false,660,Multilingual Code,
670,http://publications.europa.eu/resource/authority/multilingual/670,false,670,Multilingual Code,
680,http://publications.europa.eu/resource/authority/multilingual/680,false,680,Multilingual Code,
690,http://publications.europa.eu/resource/authority/multilingual/690,false,690,Multilingual Code,
6A0,http://publications.europa.eu/resource/authority/multilingual/6A0,false,6A0,Multilingual Code,
6B0,http://publications.europa.eu/resource/authority/multilingual/6B0,false,6B0,Multilingual Code,
6C0,http://publications.europa.eu/resource/authority/multilingual/6C0,false,6C0,Multilingual Code,
6D0,http://publications.europa.eu/resource/authority/multilingual/6D0,false,6D0,Multilingual Code,
6E0,http://publications.europa.eu/resource/authority/multilingual/6E0,false,6E0,Multilingual Code,
6F0,http://publications.europa.eu/resource/authority/multilingual/6F0,false,6F0,Multilingual Code,
6G0,http://publications.europa.eu/resource/authority/multilingual/6G0,false,6G0,Multilingual Code,
