# Serializing assets/vocabularies/website-identifier/latest/website-identifier.ttl
# @context: {"@vocab": "http://publications.europa.eu/ontology/authority/", "dct": "http://purl.org/dc/elements/1.1/", "skos": "http://www.w3.org/2004/02/skos/core#", "owl": "http://www.w3.org/2002/07/owl#", "key": {"@id": "op-code"}, "valid_from": "start.use", "valid_until": "end.use", "url": "@id", "op_code": {"@id": "op-code"}, "country_code": {"@id": "dct:identifier"}, "version_info": "owl:versionInfo", "deprecated": {}, "label_en": {"@id": "skos:prefLabel", "@language": "en"}, "label_it": {"@id": "skos:prefLabel", "@language": "it"}}
# url: http://publications.europa.eu/resource/authority/website-identifier
# title: Website identifier
# version: 20210616-0
# description: Website identifier
key,url,deprecated,valid_from,country_code,label_en,label_it,valid_until
OMB_WS,http://publications.europa.eu/resource/authority/website-identifier/OMB_WS,false,1997-01-01,OMB_WS,European Ombudsman,Mediatore europeo,
OP_DATPRO,http://publications.europa.eu/resource/authority/website-identifier/OP_DATPRO,,,OP_DATPRO,Provisional data,Dati provvisori,
ORG_FARM_WS,http://publications.europa.eu/resource/authority/website-identifier/ORG_FARM_WS,false,2007-01-01,ORG_FARM_WS,Organic farming,Agricoltura biologica,
OSHA_WS,http://publications.europa.eu/resource/authority/website-identifier/OSHA_WS,false,2010-10-01,OSHA_WS,European Agency for Safety and Health at Work,Agenzia europea per la sicurezza e la salute sul lavoro,
PRELEX_WS,http://publications.europa.eu/resource/authority/website-identifier/PRELEX_WS,true,2005-01-01,PRELEX_WS,PreLex,PreLex,2018-05-30
PUBL_WS,http://publications.europa.eu/resource/authority/website-identifier/PUBL_WS,false,2009-07-01,PUBL_WS,Publications Office of the European Union,Ufficio delle pubblicazioni dell'Unione europea,
S2R_WS,http://publications.europa.eu/resource/authority/website-identifier/S2R_WS,false,2014-07-07,S2R_WS,Shift2Rail Joint Undertaking,Impresa comune Shift2Rail,
SCOREBOARD_WS,http://publications.europa.eu/resource/authority/website-identifier/SCOREBOARD_WS,false,2012-10-24,SCOREBOARD_WS,Single Market Scoreboard,Quadro di valutazione del mercato unico,
SESAR_WS,http://publications.europa.eu/resource/authority/website-identifier/SESAR_WS,false,2010-10-01,SESAR_WS,SESAR Joint Undertaking,Impresa comune SESAR,
SKY_WS,http://publications.europa.eu/resource/authority/website-identifier/SKY_WS,false,2010-10-01,SKY_WS,Clean Sky 2 Joint Undertaking,Impresa comune Clean Sky 2,
SRB_WS,http://publications.europa.eu/resource/authority/website-identifier/SRB_WS,false,2015-01-01,SRB_WS,Single Resolution Board,Comitato di risoluzione unico,
TED_WS,http://publications.europa.eu/resource/authority/website-identifier/TED_WS,false,1998-01-01,TED_WS,Tenders Electronic Daily,Tenders Electronic Daily,
WHOISWHO_WS,http://publications.europa.eu/resource/authority/website-identifier/WHOISWHO_WS,false,2012-01-01,WHOISWHO_WS,EU Whoiswho,EU Whoiswho,
